StateName,date,homeowner_affordability,zhvi,zori,renter_affordability
CO,2012-11-30,22.06189295713666,221713.8993133744,,
CO,2012-12-31,22.12693031010056,223344.4499685236,,
CO,2013-01-31,22.343759406047102,224825.0387013813,,
CO,2013-02-28,22.71598519471069,226194.3755743772,,
CO,2013-03-31,22.78940185214404,227270.80517325565,,
CO,2013-04-30,22.514707869945948,228328.45244322153,,
CO,2013-05-31,22.71352492672053,229543.09861246208,,
CO,2013-06-30,24.03974144599568,231137.30303011194,,
CO,2013-07-31,24.78992324487117,232908.33464293642,,
CO,2013-08-31,25.13539447152553,234729.63902572234,,
CO,2013-09-30,25.318566537035732,236365.82676524646,,
CO,2013-10-31,24.75064305396682,237654.35508700408,,
CO,2013-11-30,24.908225629326942,238792.59844496724,,
CO,2013-12-31,25.31710884188254,239934.3890931342,,
CO,2014-01-31,24.77686710012081,240884.8205663251,,
CO,2014-02-28,24.49199842366591,241922.66931139905,,
CO,2014-03-31,24.57446219743559,243019.48759544297,,
CO,2014-04-30,24.59169611967321,244068.7542100207,,
CO,2014-05-31,24.26323939711101,244978.54803589883,,
CO,2014-06-30,24.15606371909367,246415.4743691681,,
CO,2014-07-31,23.98949366359664,248412.64257142186,,
CO,2014-08-31,23.869235408194513,250640.9932854444,,
CO,2014-09-30,23.95667157114624,253264.03732828863,,
CO,2014-10-31,23.67315836600574,255891.4470920905,,
CO,2014-11-30,23.59571599219246,258669.77198485006,,
CO,2014-12-31,23.38099974529714,261436.646239561,,
CO,2015-01-31,23.224159414988847,264832.71190311364,1194.5646358065685,21.28736903754772
CO,2015-02-28,23.47146799031707,268483.002951828,1216.956801967371,21.49820190194008
CO,2015-03-31,23.75619621532853,272184.0613586974,1179.1393133315844,21.290579841737213
CO,2015-04-30,23.698566934937272,275476.80602329987,1116.255332430004,20.95004744345871
CO,2015-05-31,24.19921614757532,278361.13333107944,1105.6096487450934,21.09188932507252
CO,2015-06-30,24.62353041358881,281151.1594751249,1096.3531409522818,21.161693394148028
CO,2015-07-31,24.878848756010267,284175.3341421954,1114.0577968276025,21.14860784035987
CO,2015-08-31,24.65403166464682,287499.98847020377,1119.9845845394073,21.08615485382915
CO,2015-09-30,24.63499492672251,290811.4023817823,1136.808247397934,21.07417465457337
CO,2015-10-31,24.40259852060365,293620.8687154933,1130.9327974791895,21.11401443888971
CO,2015-11-30,24.71610264389126,296327.11824765406,1139.629737867013,21.15372932394039
CO,2015-12-31,24.829228022979528,299004.115529904,1140.7428467461978,21.13893470078148
CO,2016-01-31,25.082032528017773,302014.007995169,1144.6089779032943,21.10945784907953
CO,2016-02-29,24.75905369088434,282646.2358084377,1141.4198493255544,21.12570935915827
CO,2016-03-31,24.95398566043438,285193.2645682997,1165.1939709415515,21.1511808079403
CO,2016-04-30,24.8604161185875,287754.93885029206,1184.3486685957564,21.14729945987012
CO,2016-05-31,24.96835672028748,290318.44558552053,1217.8938356983126,21.0811529886379
CO,2016-06-30,25.059857918298178,292703.8879300182,1223.7677948194282,21.13294376901259
CO,2016-07-31,24.92996199009763,294982.9943184828,1232.6605589623593,21.30597705416418
CO,2016-08-31,25.05784119150769,296884.1060524142,1227.5162486576826,21.41333099023909
CO,2016-09-30,25.28445688264321,298788.45499879005,1237.3470131724541,21.586887053697378
CO,2016-10-31,25.472967374592333,300586.94082908146,1232.717920929344,21.63731047179173
CO,2016-11-30,26.39157126952562,302931.2438841131,1229.4769635882958,21.66119820149149
CO,2016-12-31,27.624844647577618,305590.9604247148,1226.6481646961138,21.588992435379982
CO,2017-01-31,27.390070194952408,308399.697414899,1235.6094219879503,21.741594231023182
CO,2017-02-28,27.63651502932985,311430.2962183834,1253.083532541024,21.9087390049053
CO,2017-03-31,27.91969242059766,314577.9750809167,1263.8659547621617,21.96540389723603
CO,2017-04-30,27.75105687110704,317857.97004252224,1268.2045046431792,22.01965706698074
CO,2017-05-31,27.84414818822721,320827.9705790071,1283.9097318019064,22.04972316814754
CO,2017-06-30,27.70294418319303,323660.99322813656,1297.1224500046756,22.01582859819517
CO,2017-07-31,27.95609746331904,326081.3062508529,1297.7766482394077,22.00014837570244
CO,2017-08-31,27.80003007119836,328390.5038635141,1300.846781140783,21.97547406920257
CO,2017-09-30,27.624854006561478,330657.0006222773,1299.1330877754456,21.952800197227628
CO,2017-10-31,27.87081286915372,332989.46243622625,1230.063544016254,21.88055643586502
CO,2017-11-30,27.943075812136193,335165.3187248495,1288.1694563837987,21.82455529746224
CO,2017-12-31,28.03365453483075,337521.7244161211,1281.7644736360085,21.78999016022469
CO,2018-01-31,28.68669983253805,340319.4787012285,1289.9318781386603,21.74066607437997
CO,2018-02-28,29.542800094639237,343317.9113637932,1305.8444231805483,21.712047840654318
CO,2018-03-31,29.91108431969251,346453.3187346726,1327.8304744153857,21.650430642393708
CO,2018-04-30,29.96827755471907,348853.366727463,1340.9419527859905,21.602322267422338
CO,2018-05-31,30.274729581980857,351052.5856121437,1344.0860501228458,21.50073609855259
CO,2018-06-30,30.227616676788987,352738.01569595165,1346.3431110932152,21.46103521314278
CO,2018-07-31,30.13453610822116,354635.4763898283,1350.0222767948976,21.43239424877639
CO,2018-08-31,30.21047432124147,356336.4556924803,1357.800346533239,21.45717324490376
